WARNING 2026-06-06 21:55:47,286 log 11236 8304 "GET /api/logbook/dashboard/ HTTP/1.1" 404 5430
WARNING 2026-06-06 21:55:47,329 log 11236 2616 Not Found: /api/logbook/dashboard/
WARNING 2026-06-06 21:55:47,332 log 11236 2616 "GET /api/logbook/dashboard/ HTTP/1.1" 404 5430
WARNING 2026-06-06 21:55:48,006 log 11236 19352 Unauthorized: /api/placements/dashboard/
WARNING 2026-06-06 21:55:48,007 log 11236 19352 "GET /api/placements/dashboard/ HTTP/1.1" 401 84
WARNING 2026-06-06 21:55:48,022 log 11236 2616 Unauthorized: /api/placements/dashboard/
INFO 2026-06-06 21:55:48,023 log 11236 19352 "OPTIONS /api/token/refresh/ HTTP/1.1" 200 0
WARNING 2026-06-06 21:55:48,024 log 11236 2616 "GET /api/placements/dashboard/ HTTP/1.1" 401 84
INFO 2026-06-06 21:55:48,761 log 11236 2616 "POST /api/token/refresh/ HTTP/1.1" 200 244
INFO 2026-06-06 21:55:48,770 log 11236 19352 "POST /api/token/refresh/ HTTP/1.1" 200 244
ERROR 2026-06-06 21:55:49,140 log 11236 19352 Internal Server Error: /api/placements/dashboard/
ERROR 2026-06-06 21:55:49,141 log 11236 19352 "GET /api/placements/dashboard/ HTTP/1.1" 500 72
ERROR 2026-06-06 21:55:49,186 log 11236 19352 Internal Server Error: /api/placements/dashboard/
ERROR 2026-06-06 21:55:49,187 log 11236 19352 "GET /api/placements/dashboard/ HTTP/1.1" 500 72
INFO 2026-06-07 09:33:14,255 log 11236 15112 "OPTIONS /api/placements/dashboard/ HTTP/1.1" 200 0
INFO 2026-06-07 09:33:14,259 log 11236 15564 "OPTIONS /api/logbook/dashboard/ HTTP/1.1" 200 0
INFO 2026-06-07 09:33:14,262 log 11236 18420 "OPTIONS /api/placements/dashboard/ HTTP/1.1" 200 0
INFO 2026-06-07 09:33:14,265 log 11236 8708 "OPTIONS /api/logbook/dashboard/ HTTP/1.1" 200 0
WARNING 2026-06-07 09:33:14,728 log 11236 15564 Unauthorized: /api/placements/dashboard/
WARNING 2026-06-07 09:33:14,892 log 11236 15564 "GET /api/placements/dashboard/ HTTP/1.1" 401 84
INFO 2026-06-07 09:33:15,089 log 11236 18420 "OPTIONS /api/token/refresh/ HTTP/1.1" 200 0
